path,true,pred,top1_prob
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,Apple___Apple_scab,Apple___Apple_scab,0.951905
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,Apple___Apple_scab,Strawberry___Leaf_scorch,0.892289
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/28-500x375.jpg,Apple___Apple_scab,Strawberry___Leaf_scorch,0.953165
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/816.jpg,Apple___Apple_scab,Strawberry___Leaf_scorch,0.797433
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/apple%20scab%20leaf.jpg,Apple___Apple_scab,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.485199
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/apple%20scabnew.jpg,Apple___Apple_scab,Cherry___healthy,0.759177
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/apple-scab-5366820.jpg,Apple___Apple_scab,Strawberry___Leaf_scorch,0.404628
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/apples_apple-scab_01_zoom.jpg,Apple___Apple_scab,Apple___Apple_scab,0.945150
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/apples_apple-scab_02_thm.jpg,Apple___Apple_scab,Apple___Apple_scab,0.380484
plantdoc/PlantDoc-Dataset/test/Apple Scab Leaf/apples_apple-scab_10_zoom.jpg,Apple___Apple_scab,Apple___Apple_scab,0.651566
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/01Apple-scab-2-Venturia-inaequalis.ashx?w=600&h=408&bc=ffffff.jpg,Apple___Apple_scab,Apple___Apple_scab,0.729964
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/11NovMW_W4-A_4b.jpg,Apple___Apple_scab,"Pepper,_bell___healthy",0.667169
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/12-20_apple_scab1.jpg,Apple___Apple_scab,Strawberry___Leaf_scorch,0.386425
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/500_F_125294801_k0A2teQwKxZfTV1pcaerZFf9Th04F04q.jpg,Apple___Apple_scab,"Pepper,_bell___healthy",0.579906
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,Apple___Apple_scab,"Pepper,_bell___healthy",0.603794
